"";"population_size";"forest_density";"PIS_support";"income";"postproduction_age";"industry_revenue";"empl_agriculture";"poulation_density";"Covid_deaths";"size_COVID";"betweenness_mob";"vacc";"relig";"HealthCareAcc";"HealthAcc_phys";"excess_mortality";"inf_autumn";"tests";"rt";"vacc_";"county";"deaths";"deaths_norm";"HCA_demand";"HCA_supply";"cumulative_cases";"vacc_fraq";"deaths_";"incidence"
"207";0,0662901376146789;0,436;39,38;72;3672;39;1937;33;57;36325,1621832021;0;22,1;49;1511039,2526598;24,7;1,16730544909182;45,2556007265807;4,12087912087912;0;0,376117540829236;"wegorzewski";2;30,1704004843872;-1,8055072099641;-0,539666280075166;-1,32260224875474;0,172011221063926;-0,695832099845219;-0,781914948685138
"208";0,0134466743119266;0,208;68,44;82;13884;885;10417;54;122;256420,28058505;7;19,6888888888889;52;18499146,6461985;16,9;1,12763113932509;6470,00127926315;14,3603740749704;1,33692209773445;0,323130291846303;"wegrowski";14;1041,14963114579;3,31803871683333;-0,79578612094089;1,81481850188179;-0,652326862553455;3,80097806516563;8,08399409188868
"209";0,0384202981651376;0,279;53,17;92;21972;9524;4678;309;111;301871,68121782;1134,86666666667;23,54;77;12440351,1379748;27,5;1,13440344992813;858,920976046564;3,09840726649134;1,89092970521542;0,395328733758221;"wielicki";12;312,334900380569;1,49072998088404;-0,447725824379778;2,46272095663042;0,470885351483184;0,559228491763815;0,340912874858302
"210";0,0696869266055046;0,158;56,73;79;16461;2099;11740;83;130;68649,8922112331;608,666666666667;23,88;38;4350773,01825004;35,3;1,1400068212824;71,7494692843155;1,11051212938005;3,16666666666667;0,382234291767652;"wielunski";3;43,0496815705893;-0,949054749967711;-0,191605983514054;-0,861818386372552;0,267171299069904;-0,63854538182968;-0,74535439975158
"211";0,0680452981651376;0,246;57,71;71;8350;2293;5781;73;72;31758,2560187409;0;21,3;38;2448545,37334311;17,6;1,20262664165103;88,1765553505069;3,28530686321716;1,94444444444444;0,360395327511451;"wieruszowski";NA;0;-1,52275907594879;-0,772801007017042;-1,38770276652465;-0,0725838361503333;-0,830029281613118;-0,722685634612584
"212";0,0497465596330275;0,187;51,85;78;17016;973;11712;59;153;95865,92590885;327,5;21,4076923076923;49;6656641,23193251;15,1;1,21827877896285;160,815140966827;2,29020792898148;1,75;0,373690932117411;"wloclawski2";NA;0;-0,253614026627455;-0,85489069960221;-0,473858174020066;0,134259761730014;-0,830029281613118;-0,622447099870003
"213";0,0648170871559633;0,245;33,89;86;27677;6075;421;1314;275;112424,058527437;995,833333333333;25,4;49;8675520,98796012;67,3;1,23938879456706;200,564396988703;2,32511549891632;1,54761904761905;0,42409336686287;"wloclawski";6;92,5681832255553;0,355272114192641;0,859142081576095;-0,237824638853252;0,918385136517887;-0,418288333173519;-0,567594611389758
"214";0,0225229357798165;0,405;55,03;75;8427;0;5726;31;92;120321,792260693;11;23,1;65;7769946,23217923;56,3;1,15532519645544;2663,95112016293;11,1045957330617;1,60697635697636;0,357565618897156;"wlodawski";8;355,193482688391;0,0821543534021442;0,497947434201356;-0,125243706219945;-0,116606438211717;0,749862386837687;2,83178704699749
"215";0,0263308486238532;0,425;66,61;84;9985;1784;8089;50;87;89438,8188410532;209,75;23,0166666666667;65;7379025,36965659;26;1,09752146444192;37,9782670238018;0,264550264550265;NA;0,359364546263207;"wloszczowski";NA;0;-0,035745830913845;-0,496979639930878;-0,565475558483142;-0,0886200006071817;-0,830029281613118;-0,791957397350816
"216";0,0904994266055046;0,094;52,87;77;33166;1510;1868;550;243;135039,529623458;645,783333333333;21,2;57;6234370,99175701;28,3;1,18483412322275;187,846494034759;1,58720423023983;2,10714285714286;0,364736770978298;"wodzislawski";8;88,3983501340041;-0,380969059118116;-0,421457122752524;0,0845552885948863;-0,00504273416282687;-0,43683564578272;-0,585144842390061
"217";0,0326903669724771;0,303;40,19;79;10452;2354;5551;84;78;108625,271872588;163,833333333333;19,6;61;6525102,64505717;28,9;1,12474667867597;275,310460955588;2,5353171571659;1,1;0,358979126157818;"wolsztynski";9;275,310460955588;-0,29328554361222;-0,401755596532084;-0,291975735727666;-0,0946160935760116;0,394544717349223;-0,464447835248066
